['1 0 1', 98, 96, 0.505, 0.495]
['0 0 0', 89, 109, 0.449, 0.551]
['1 1 1', 184, 28, 0.868, 0.132]
['1 1 0', 192, 16, 0.923, 0.077]
['0 1 0', 88, 99, 0.471, 0.529]
['0 1 1', 14, 149, 0.086, 0.914]
['1 0 0', 109, 90, 0.548, 0.452]
['0 0 1', 20, 155, 0.114, 0.886]
